Dt_time,Dt,Odisha
15/04/2020 00:00:00,15/04/2020 00:00:00,78.6
16/04/2020 00:00:00,16/04/2020 00:00:00,80.9
17/04/2020 00:00:00,17/04/2020 00:00:00,85.1
18/04/2020 00:00:00,18/04/2020 00:00:00,83.3
19/04/2020 00:00:00,19/04/2020 00:00:00,74.2
20/04/2020 00:00:00,20/04/2020 00:00:00,72.9
21/04/2020 00:00:00,21/04/2020 00:00:00,74.8
22/04/2020 00:00:00,22/04/2020 00:00:00,73.6
23/04/2020 00:00:00,23/04/2020 00:00:00,74.9
24/04/2020 00:00:00,24/04/2020 00:00:00,72.4
25/04/2020 00:00:00,25/04/2020 00:00:00,72.1
26/04/2020 00:00:00,26/04/2020 00:00:00,80.5
27/04/2020 00:00:00,27/04/2020 00:00:00,88.1
28/04/2020 00:00:00,28/04/2020 00:00:00,89.1
29/04/2020 00:00:00,29/04/2020 00:00:00,81.3
30/04/2020 00:00:00,30/04/2020 00:00:00,89.4
01/05/2020 00:00:00,01/05/2020,88
02/05/2020 00:00:00,02/05/2020,91.6
03/05/2020 00:00:00,03/05/2020,78.2
04/05/2020 00:00:00,04/05/2020,76.2
05/05/2020 00:00:00,05/05/2020,80.6
13/05/2020 00:00:00,13/05/2020 00:00:00,69.7
14/05/2020 00:00:00,14/05/2020 00:00:00,72.6
15/05/2020 00:00:00,15/05/2020 00:00:00,73.6
16/05/2020 00:00:00,16/05/2020 00:00:00,74.7
17/05/2020 00:00:00,17/05/2020 00:00:00,76
18/05/2020 00:00:00,18/05/2020 00:00:00,69.9
19/05/2020 00:00:00,19/05/2020 00:00:00,68.9
20/05/2020 00:00:00,20/05/2020 00:00:00,71
21/05/2020 00:00:00,21/05/2020 00:00:00,72
22/05/2020 00:00:00,22/05/2020 00:00:00,77
23/05/2020 00:00:00,23/05/2020 00:00:00,84.3
01/06/2020 00:00:00,01/06/2020,85.4
02/06/2020 00:00:00,02/06/2020,86
03/06/2020 00:00:00,03/06/2020,79.4
04/06/2020 00:00:00,04/06/2020,75.1
05/06/2020 00:00:00,05/06/2020,75.8
01/07/2020 00:00:00,01/07/2020,74
02/07/2020 00:00:00,02/07/2020,73.8
03/07/2020 00:00:00,03/07/2020,94.8
04/07/2020 00:00:00,04/07/2020,91.1
05/07/2020 00:00:00,05/07/2020,93.6
01/08/2020 00:00:00,01/08/2020,93.6
02/08/2020 00:00:00,02/08/2020,90.3
03/08/2020 00:00:00,03/08/2020,89.4
04/08/2020 00:00:00,04/08/2020,91.4
05/08/2020 00:00:00,05/08/2020,72.4
01/09/2020 00:00:00,01/09/2020,71.6
02/09/2020 00:00:00,02/09/2020,69.9
03/09/2020 00:00:00,03/09/2020,69.3
04/09/2020 00:00:00,04/09/2020,67.8
05/09/2020 00:00:00,05/09/2020,68.6
01/10/2020 00:00:00,01/10/2020,71.4
02/10/2020 00:00:00,02/10/2020,76.5
03/10/2020 00:00:00,03/10/2020,74.6
04/10/2020 00:00:00,04/10/2020,80.4
05/10/2020 00:00:00,05/10/2020,81.6
01/11/2020 00:00:00,01/11/2020,81
02/11/2020 00:00:00,02/11/2020,79.7
03/11/2020 00:00:00,03/11/2020,80.6
04/11/2020 00:00:00,04/11/2020,81.3
05/11/2020 00:00:00,05/11/2020,95.3
01/12/2020 00:00:00,01/12/2020,105.7
02/12/2020 00:00:00,02/12/2020,112.3
03/12/2020 00:00:00,03/12/2020,113
04/12/2020 00:00:00,04/12/2020,111.6
05/12/2020 00:00:00,05/12/2020,95.1
